id;type;description;date;status
1;PREVENTIVE_MAINTAINANCE;coherent;2023-10-11T20:16:45;SCHEDULED
2;PREVENTIVE_MAINTAINANCE;Cuban;2023-10-11T19:41:48;SCHEDULED
3;PREVENTIVE_MAINTAINANCE;Gorgeous compelling;2023-10-11T18:38:48;DONE
4;REPAIR;Avon systems Dakota;2023-10-11T19:33:42;CANCELED
5;REPAIR;Ergonomic Executive;2023-10-11T10:15:51;DONE
6;REPAIR;Directives Nebraska;2023-10-12T07:09:10;CANCELED
7;INSTALLATION;Peso deposit;2023-10-11T17:20:00;SCHEDULED
8;INSTALLATION;RSS;2023-10-11T10:14:01;SCHEDULED
9;REPAIR;synthesize pixel;2023-10-11T16:17:00;SCHEDULED
10;INSTALLATION;indexing bypassing middleware;2023-10-12T04:20:24;SCHEDULED
